Action,សកម្មភាព,
App Name,ឈ្មោះកម្មវិធី,
Archived,ទុកក្នុងប័ណ្ណសារ,
Avatar,Avatar,
Call,ការហៅ,
Chat,ការជជែកកំសាន្ត,
Client,ម៉ាស៊ីនភ្ញៀវ,
Compact Item Print,ធាតុបង្រួមបោះពុម្ព,
Consultant,អ្នកប្រឹក្សាយោបល់,
Country,ប្រទេស,
Email,អេមមីល,
Employee Name,ឈ្មោះបុគ្គលិក,
Error Message,សារកំហុស។,
Facebook,ហ្វេសប៊ុក,
First Name,ឈ្មោះជាលើកដំបូង,
High,ឧត្តម,
In Progress,កំពុងដំណើរការ,
Is Billing Contact,តើទំនាក់ទំនងចេញវិក្កយបត្រ,
Is Your Company Address,គឺជាអាសយដ្ឋានក្រុមហ៊ុនរបស់អ្នក,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Last Name,ឈ្មោះចុងក្រោយ,
Lost,ការបាត់បង់,
Low,កម្រិតទាប,
Middle Name,ជាឈ្មោះកណ្តាល,
New,ថ្មី,
Normal,ធម្មតា,
Notes,កំណត់ត្រា,
On Hold,រង់ចាំ,
Phone,ទូរស័ព្ទ,
Print UOM after Quantity,បោះពុម្ព UOM បន្ទាប់ពីបរិមាណ,
Print taxes with zero amount,បោះពុម្ពពន្ធដែលមានលេខសូន្យ,
Priority,អាទិភាព,
Project Name,ឈ្មោះគម្រោង,
Qualification,គុណវុឌ្ឍិ,
Reload,ផ្ទុកឡើងវិញ,
SMS,សារ,
Scheduled,កំណត់ពេលវេលា,
Service,សេវាកម្ម,
Session Defaults,លំនាំដើមវេន។,
Sync,ធ្វើសមកាលកម្ម,
System Manager,ប្រព័ន្ធអ្នកគ្រប់គ្រង,
Tax Category,ប្រភេទពន្ធ។,
Title,ចំណងជើង,
Topic,ប្រធានបទ,
Urgent,បន្ទាន់,
View Website,មើលគេហទំព័រ,
Web Form,សំណុំបែបបទបណ្ដាញ,
WhatsApp,WhatsApp,
