Action,veiksmas,
App Name,"Programos pavadinimas,",
Archived,archyvuojami,
Avatar,Avatara,
Call,kvietimas,
Chat,kalbėtis,
Client,klientas,
Compact Item Print,Kompaktiškas punktas Spausdinti,
Consultant,konsultantas,
Country,Šalis,
Email,El. Paštas,
Employee Name,Darbuotojo vardas,
Error Message,Klaidos pranešimas,
Facebook,Facebook,
First Name,Pirmas vardas,
High,aukštas,
In Progress,&quot;Progress&quot;,
Is Billing Contact,Ar yra atsiskaitymo kontaktas,
Is Your Company Address,Ar Jūsų įmonė Adresas,
Keyboard Shortcuts,Klaviatūros nuorodos,
Last Name,Pavardė,
Lost,Prarastas,
Low,žemas,
Middle Name,Antras vardas,
New,Nauja,
Normal,Normalus,
Notes,Pastabos,
On Hold,Laikomas,
Phone,telefonas,
Print UOM after Quantity,Spausdinkite UOM po kiekio,
Print taxes with zero amount,Spausdinti mokesčius su nuline suma,
Priority,Prioritetas,
Project Name,projekto pavadinimas,
Qualification,Kvalifikacija,
Reload,Perkrauti,
SMS,trumpoji žinutė,
Scheduled,planuojama,
Service,tarnyba,
Session Defaults,Sesijos numatytieji nustatymai,
Sync,Sinchronizuoti,
System Manager,sistemos direktorius,
Tax Category,Mokesčių kategorija,
Title,Pavadinimas,
Topic,tema,
Urgent,skubus,
View Website,Peržiūrėti svetainė,
Web Form,interneto forma,
WhatsApp,„WhatsApp“,
