Action,ആക്ഷൻ,
App Name,അപ്ലിക്കേഷൻ പേര്,
Archived,പൊതിക്കെട്ടിയത്,
Avatar,അവതാർ,
Call,കോൾ,
Chat,ചാറ്റ്,
Client,ക്ലയന്റ്,
Compact Item Print,കോംപാക്റ്റ് ഇനം പ്രിന്റ്,
Consultant,ഉപദേഷ്ടാവ്,
Country,രാജ്യം,
Email,ഇമെയിൽ,
Employee Name,ജീവനക്കാരുടെ പേര്,
Error Message,പിശക് സന്ദേശം,
Facebook,ഫേസ്,
First Name,പേരിന്റെ ആദ്യഭാഗം,
High,ഹൈ,
In Progress,പുരോഗതിയിൽ,
Is Billing Contact,ബില്ലിംഗ് കോൺടാക്റ്റ് ആണ്,
Is Your Company Address,നിങ്ങളുടെ കമ്പനി വിലാസമാണ്,
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ,
Last Name,പേരിന്റെ അവസാന ഭാഗം,
Lost,നഷ്ടപ്പെട്ട,
Low,ലോ,
Middle Name,പേരിന്റെ മധ്യഭാഗം,
New,പുതിയത്,
Normal,സാധാരണ,
Notes,കുറിപ്പുകൾ,
On Hold,ഹോൾഡ് ചെയ്തിരിക്കുന്നു,
Phone,ഫോൺ,
Print UOM after Quantity,അളവിന് ശേഷം UOM പ്രിന്റുചെയ്യുക,
Print taxes with zero amount,പൂജ്യം തുക ഉപയോഗിച്ച് നികുതികൾ അച്ചടിക്കുക,
Priority,മുൻഗണന,
Project Name,പ്രോജക്ട് പേര്,
Qualification,യോഗ്യത,
Reload,വീണ്ടും ലോഡുചെയ്യുക,
SMS,എസ്എംഎസ്,
Scheduled,ഷെഡ്യൂൾഡ്,
Service,സേവനം,
Session Defaults,സെഷൻ സ്ഥിരസ്ഥിതികൾ,
Sync,സമന്വയം,
System Manager,സിസ്റ്റം മാനേജർ,
Tax Category,നികുതി വിഭാഗം,
Title,ശീർഷകം,
Topic,വിഷയം,
Urgent,തിടുക്കപ്പെട്ടതായ,
View Website,വെബ്സൈറ്റ് കാണുക,
Web Form,വെബ് ഫോം,
WhatsApp,വാട്ട്‌സ്ആപ്പ്,
