Action,کړنه,
App Name,ددفتروسایل نوم,
Archived,ارشیف,
Avatar,معلومات,
Call,غوښتنه,
Chat,Chat,
Client,د مراجع,
Compact Item Print,د تړون د قالب چاپ,
Consultant,مشاور,
Country,د هېواد,
Email,بریښنالیک,
Employee Name,د کارګر نوم,
Error Message,د خطا پیغام,
Facebook,Facebook,
First Name,اول نوم,
High,د عالي,
In Progress,د پرمختګ په حال کې,
Is Billing Contact,د بیلینګ اړیکه ده,
Is Your Company Address,آیا ستاسو شرکت پته,
Keyboard Shortcuts,کيلي لنډلار,
Last Name,کورنۍ نوم,
Lost,له لاسه,
Low,ټیټ,
Middle Name,منځنی نوم,
New,نوی,
Normal,عادي,
Notes,یاداښتونه,
On Hold,په انتظار,
Phone,تيليفون,
Print UOM after Quantity,د مقدار وروسته UOM چاپ کړئ,
Print taxes with zero amount,د صفر مقدار سره مالیات چاپ کړئ,
Priority,د لومړیتوب,
Project Name,د پروژې نوم,
Qualification,وړتوب,
Reload,Reload,
SMS,پیغامونه,
Scheduled,ټاکل شوې,
Service,خدمت,
Session Defaults,د ناستې ټاکل,
Sync,همکاري,
System Manager,سيستم مدير,
Tax Category,د مالیه کټګورۍ,
Title,نوم,
Topic,موضوع,
Urgent,Urgent,
View Website,محتویات وېب پاڼه,
Web Form,ويب فورمه,
WhatsApp,WhatsApp,
