Action,Harakat,
App Name,Ilova nomi,
Archived,Arxivlangan,
Avatar,Barcha e&#39;lonlar,
Call,Qo&#39;ng&#39;iroq qiling,
Chat,Chat,
Client,Mijoz,
Compact Item Print,Yilni mahsulot Chop etish,
Consultant,Konsultant,
Country,Davlat,
Email,E-pochta,
Employee Name,Xodimlarning nomi,
Error Message,Xato xabari,
Facebook,Facebook,
First Name,Ism,
High,Oliy,
In Progress,Jarayonda,
Is Billing Contact,Hisob-kitob aloqasi,
Is Your Company Address,Sizning kompaniyangiz manzili,
Keyboard Shortcuts,Klaviatura yorliqlari,
Last Name,Familiya,
Lost,Yo&#39;qotilgan,
Low,Kam,
Middle Name,Otasini ismi,
New,Yangi,
Normal,Oddiy,
Notes,Eslatmalar,
On Hold,Kutib turishda,
Phone,Telefon,
Print UOM after Quantity,Miqdordan keyin UOMni chop eting,
Print taxes with zero amount,Soliqlarni nolga teng miqdorda chop eting,
Priority,Birinchi o&#39;ringa,
Project Name,Loyiha nomi,
Qualification,Malakali,
Reload,Qayta yuklash,
SMS,SMS,
Scheduled,Rejalashtirilgan,
Service,Xizmat,
Session Defaults,Sessiya standartlari,
Sync,Sinx,
System Manager,Tizim menejeri,
Tax Category,Soliq toifasi,
Title,Sarlavha,
Topic,Mavzu,
Urgent,Shoshilinch,
View Website,Veb-saytni ko&#39;rish,
Web Form,Veb shakl,
WhatsApp,WhatsApp,
