Action,thao tác,
App Name,Tên ứng dụng,
Archived,Lưu trữ,
Avatar,Avatar,
Call,Cuộc gọi,
Chat,Trò chuyện,
Client,Khách hàng,
Compact Item Print,Nhỏ gọn mục Print,
Consultant,Tư vấn,
Country,Tại,
Email,E-mail,
Employee Name,Tên nhân viên,
Error Message,Thông báo lỗi,
Facebook,Facebook,
First Name,Họ,
High,Cao,
In Progress,Trong tiến trình,
Is Billing Contact,Là liên hệ thanh toán,
Is Your Company Address,Là Địa chỉ công ty của bạn,
Keyboard Shortcuts,Các phím tắt bàn phím,
Last Name,Tên,
Lost,Mất,
Low,Thấp,
Middle Name,Tên đệm,
New,Mới,
Normal,Bình thường,
Notes,Ghi chú:,
On Hold,Đang chờ,
Phone,Chuyển tệp,
Print UOM after Quantity,In UOM sau số lượng,
Print taxes with zero amount,In thuế với số tiền bằng không,
Priority,Ưu tiên,
Project Name,Tên dự án,
Qualification,Trình độ chuyên môn,
Reload,Nạp lại,
SMS,tin nhắn,
Scheduled,Dự kiến,
Service,Dịch vụ,
Session Defaults,Mặc định phiên,
Sync,Đồng bộ hóa,
System Manager,Hệ thống quản lý,
Tax Category,Danh mục thuế,
Title,Tiêu đề,
Topic,Chủ đề,
Urgent,Khẩn cấp,
View Website,Xem trang web,
Web Form,mẫu web,
WhatsApp,WhatsApp,
